id,name,market,close,change,turnover,high,low
0050,元大台灣50,TWSE,95.85,3.35,5942503747,96.05,94.7
0051,元大中型100,TWSE,132.55,4.35,7792107,132.7,128.8
0052,富邦科技,TWSE,56.4,1.95,1228793937,56.6,55.75
0053,元大電子,TWSE,222.25,10,5416997,222.25,220.25
0055,元大MSCI金融,TWSE,33.99,0.02,6525476,34.15,33.89
0056,元大高股息,TWSE,45.44,1.4,2265991289,45.52,44.74
0057,富邦摩台,TWSE,285.1,10.45,9812192,285.1,282.55
0061,元大寶滬深,TWSE,24.99,0.2,7714310,25.27,24.79
1101,台泥,TWSE,24.2,0.05,483300094,24.35,23.95
1102,亞泥,TWSE,34.95,0.45,240452285,34.95,34.5
1103,嘉泥,TWSE,13.05,0.05,2702458,13.1,13
1104,環泥,TWSE,27.5,0.1,15354223,27.75,27.4
1108,幸福,TWSE,13.75,-0.05,1319514,13.8,13.7
1109,信大,TWSE,14.65,0.05,1485982,14.65,14.55
1110,東泥,TWSE,14.2,0.3,4192104,14.2,13.9
1201,味全,TWSE,12.1,0,3184997,12.15,12.05
1203,味王,TWSE,42.65,1,2601180,43.7,42.6
1210,大成,TWSE,52.9,-0.1,80048214,53.5,52.9
1213,大飲,TWSE,8.49,0.06,33826,8.7,8.31
1215,卜蜂,TWSE,144,2,314862382,146,142
1216,統一,TWSE,73.1,-0.3,999281610,73.8,72.6
1217,愛之味,TWSE,9.41,-0.01,8411655,9.54,9.39
1218,泰山,TWSE,18.6,0.15,6438314,18.6,18.5
1219,福壽,TWSE,12.5,0,5281107,12.6,12.5
1220,台榮,TWSE,11.8,0,1179427,11.9,11.8
1225,福懋油,TWSE,29.2,0.4,3504492,29.55,28.8
1227,佳格,TWSE,28.6,0.3,27222065,28.75,28.4
1229,聯華,TWSE,38.85,0.55,72706202,39,38.35
1231,聯華食,TWSE,86.8,0.2,21134892,86.8,86
1232,大統益,TWSE,148,-1,9416192,149,148
1233,天仁,TWSE,28.8,0.25,491841,28.8,28.65
1234,黑松,TWSE,33.9,0.15,1884659,34,33.55
1235,興泰,TWSE,37.3,0.3,862153,37.3,36.4
1236,宏亞,TWSE,23.7,0,1198903,23.9,23.55
1256,鮮活果汁-KY,TWSE,188,5,23073533,190,181
1301,台塑,TWSE,45.75,0.35,668350142,46.3,45.35
1303,南亞,TWSE,87.3,6.5,6229195962,88.3,83.1
1304,台聚,TWSE,12.25,0.1,56107686,12.3,12.05
1305,華夏,TWSE,12.5,0.05,23085732,12.55,12.35
1307,三芳,TWSE,31.65,0.3,13939179,31.75,31.35
1308,亞聚,TWSE,13.25,0.15,22836976,13.3,13
1309,台達化,TWSE,15.65,0.1,54236520,16,15.1
1310,台苯,TWSE,8.07,0.09,14491969,8.1,8.01
1312,國喬,TWSE,10.6,0.2,38540790,10.7,10.5
1313,聯成,TWSE,10.65,0.15,17788169,10.75,10.45
1314,中石化,TWSE,7.2,0.18,118266799,7.2,6.98
1315,達新,TWSE,61,0.6,1812069,61.2,60.6
1316,上曜,TWSE,10.75,0.15,24754119,11.1,10.7
1319,東陽,TWSE,80.1,-0.5,217939217,81.8,80.1
1321,大洋,TWSE,29.6,0,2865282,29.7,29.45
1323,永裕,TWSE,19.9,0,1478175,19.95,19.35
1324,地球,TWSE,10.2,0,364461,10.25,10.15
1325,恆大,TWSE,26.9,-0.05,6598098,27.1,26.8
1326,台化,TWSE,45.45,0.9,462840726,45.7,44.8
1337,再生-KY,TWSE,4.77,0.1,2157451,4.83,4.74
1338,廣華-KY,TWSE,15.95,0.05,9359739,16.2,15.15
1339,昭輝,TWSE,40.8,0.35,3933370,40.9,40.5
1340,勝悅-KY,TWSE,5.5,0.07,1250437,5.57,5.41
1341,富林-KY,TWSE,63,2,828895,63,61
1342,八貫,TWSE,93.2,1.2,19728153,94.6,92.3
1402,遠東新,TWSE,27.2,0.45,677152335,27.2,26.65
1409,新纖,TWSE,16.95,0.3,109998839,17.15,16.7
1410,南染,TWSE,26.4,0.3,1067027,26.95,26.15
1413,宏洲,TWSE,9.53,0.03,196588,9.53,9.33
1414,東和,TWSE,15.8,0.05,4491295,16,15.7
1416,廣豐,TWSE,11.1,0,2083865,11.15,11.05
1417,嘉裕,TWSE,8.22,0.02,626232,8.3,8.16
1418,東華,TWSE,17.9,0,448461,17.9,17.65
1419,新紡,TWSE,62.5,0.5,5676063,63.4,62
1423,利華,TWSE,41.3,0.5,1534515,41.3,40.75
1432,大魯閣,TWSE,16.4,0.15,2214312,16.45,16.25
1434,福懋,TWSE,15.3,0.15,15045439,15.3,15.15
1436,華友聯,TWSE,45.5,-0.25,30972262,45.85,44.5
1437,勤益控,TWSE,28.5,0.15,6186179,28.5,28.2
1438,三地開發,TWSE,20.5,-0.15,1243962,20.6,20.3
1439,雋揚,TWSE,25.65,0.15,1134324,26.2,25.4
1440,南紡,TWSE,11.4,0.1,8726981,11.45,11.35
1441,大東,TWSE,9.39,0.09,374704,9.48,9.3
1442,名軒,TWSE,26.15,-0.1,10801177,26.45,26.15
1443,立益物流,TWSE,26.45,0,451188,26.5,26.25
1444,力麗,TWSE,5.95,0.02,5015874,5.96,5.9
1445,大宇,TWSE,12.15,0.65,1850165,12.3,11.35
1446,宏和,TWSE,15.55,0.1,1781145,15.7,15.55
1447,力鵬,TWSE,5.9,0.01,15027606,5.97,5.81
1449,佳和,TWSE,12.45,0.2,5727476,12.45,12.35
1451,年興,TWSE,16.7,0,2511575,16.85,16.65
1452,宏益,TWSE,10.5,-0.05,1260987,10.6,10.5
1453,大將,TWSE,11.35,0.1,721155,11.5,11.2
1454,台富,TWSE,12.7,-0.15,539875,13.1,12.7
1455,集盛,TWSE,8.18,0.01,2687373,8.23,8.1
1456,怡華,TWSE,12.9,-0.05,342521,13.15,12.9
1457,宜進,TWSE,14.05,-0.1,1507763,14.1,14.05
1459,聯發,TWSE,11.8,0.05,542282,11.85,11.75
1460,宏遠,TWSE,6.98,-0.05,3882473,7.04,6.94
1463,強盛新,TWSE,18,-0.2,627285,18.15,17.9
1464,得力,TWSE,10.25,0.1,4733715,10.25,10.1
1465,偉全,TWSE,12.05,0.05,453576,12.1,12
1466,聚隆,TWSE,14.7,0.05,1275432,14.7,14.5
1467,南緯,TWSE,6.96,0.01,1474842,7,6.9
1468,昶和,TWSE,11.9,0,473179,11.9,11.7
1470,大統新創,TWSE,21.9,0.8,134769,21.9,21.3
1471,首利,TWSE,10.5,0.1,5349876,10.7,10.3
1473,台南,TWSE,20.4,0,802759,20.55,20.4
1474,弘裕,TWSE,9.82,-0.11,1586919,9.87,9.81
1475,業旺,TWSE,25.1,-0.2,1795441,25.5,24.65
1476,儒鴻,TWSE,343,12.5,770856502,348,331
1477,聚陽,TWSE,217.5,4.5,503328087,217.5,214
1503,士電,TWSE,188.5,7.5,322117327,189,184
1504,東元,TWSE,71.1,2.1,688279302,71.5,69.6
1506,正道,TWSE,10.1,0.1,2093551,10.15,9.98
1512,瑞利,TWSE,6.96,-0.14,700462,7.1,6.84
1513,中興電,TWSE,154.5,6,873597642,154.5,150
1514,亞力,TWSE,118,5,337744544,119,114.5
1515,力山,TWSE,22.15,0.15,5346781,22.25,22.05
1516,川飛,TWSE,21,-0.3,2157140,22.25,20.95
1517,利奇,TWSE,10.05,0.05,1524627,10.15,10
1519,華城,TWSE,800,30,1156624734,804,785
1521,大億,TWSE,24.25,0,709272,24.6,24.25
1522,堤維西,TWSE,29.65,0.55,18342686,29.65,29.2
1524,耿鼎,TWSE,29.35,-0.05,43217888,29.8,29.3
1525,江申,TWSE,59,0.2,787544,59,57.9
1526,日馳,TWSE,14.6,0.05,2240234,14.8,14.3
1527,鑽全,TWSE,32.9,0.35,10898264,33.05,32.6
1528,恩德,TWSE,25.75,0.6,96512586,26.35,25.45
1529,樂事綠能,TWSE,20.75,0.4,9035060,20.85,20.45
1530,亞崴,TWSE,27.8,0.45,1990443,28.45,27.35
1531,高林股,TWSE,12.55,0.25,1316805,12.6,12.45
1532,勤美,TWSE,20.7,0.15,5532157,20.85,20.55
1533,車王電,TWSE,39.85,1.85,77471458,39.9,37.6
1535,中宇,TWSE,49.5,0.3,1826499,49.8,49.2
1536,和大,TWSE,50.2,1.1,114458009,50.6,48.9
1537,廣隆,TWSE,125.5,1,5435229,125.5,124.5
1539,巨庭,TWSE,15.5,0,744033,15.55,15.45
1540,喬福,TWSE,20.95,0.25,2377329,21.15,20.75
1541,錩泰,TWSE,20.75,0.35,566150,21.45,20.45
1558,伸興,TWSE,90.3,0.3,2243778,90.7,90
1560,中砂,TWSE,669,60,1563009601,669,634
1563,巧新,TWSE,45.7,0.7,35037136,45.75,44.6
1568,倉佑,TWSE,28.45,0.45,6185346,28.5,28.05
1582,信錦,TWSE,117.5,10.5,730585731,117.5,115
1583,程泰,TWSE,47.1,0,2119415,47.6,47.1
1587,吉茂,TWSE,28.3,0.3,4973534,28.6,28
1590,亞德客-KY,TWSE,1420,15,1123771960,1450,1390
1597,直得,TWSE,166.5,-4.5,1151104332,180.5,162.5
1598,岱宇,TWSE,20.15,-0.15,2524809,20.4,20.15
1603,華電,TWSE,30.4,1,13010665,30.4,29.3
1604,聲寶,TWSE,23.2,0.1,8887736,23.2,23
1605,華新,TWSE,35.5,2.4,2207272495,36.3,33.7
1608,華榮,TWSE,32.8,1.3,107941892,33.1,32.15
1609,大亞,TWSE,35.05,1.25,197313166,35.3,34.25
1611,中電,TWSE,11.3,0.15,5939471,11.4,11.2
1612,宏泰,TWSE,36.6,0.85,33786604,37.05,36
1614,三洋電,TWSE,30.8,-0.05,1310945,30.95,30.55
1615,大山,TWSE,43,0.3,5018585,43.25,42.9
1616,億泰,TWSE,21.85,0.6,14670977,21.9,21.5
1617,榮星,TWSE,14.55,0.25,2232856,14.75,14.5
1618,合機,TWSE,39,0.7,19567890,39.2,38.6
1623,大東電,TWSE,222,6.5,18517166,224,218.5
1626,艾美特-KY,TWSE,9.93,0.03,717092,10.15,9.93
1702,南僑,TWSE,33.35,0.35,11723453,33.4,32.9
1707,葡萄王,TWSE,104,0.5,54790929,104,102
1708,東鹼,TWSE,39.7,0.15,60278416,39.9,39.45
1709,和益,TWSE,18.4,0.25,7997396,18.5,18.25
1710,東聯,TWSE,13.1,0.15,141660450,13.15,12.6
1711,永光,TWSE,49.7,2.9,768234256,51,48.05
1712,興農,TWSE,40.2,-0.3,53955375,40.75,40.2
1713,國化,TWSE,47.95,0.75,7428967,48,47.5
